Time,Computer,Reason,Tag(s),Change,Rank,Severity,Type,Key,User,Process,Description,Event Origin
"May 12, 2025 17:47:04",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\flighting\onesettings\refreshcache,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""9EF04F0D3F6A3311CE19050990FC76041EE11C61C06AE506664C7C472F5FFFE5"" to ""9BE04855B2919C90A651231FC807DCB54547C3187F2370DC4BB90CAD0028E9C7""

After the change the File had the following attributes:

   SHA-256: 9BE04855B2919C90A651231FC807DCB54547C3187F2370DC4BB90CAD0028E9C7",Agent
"May 12, 2025 17:47:34",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""849ADAD96E6E68A25F222D4FEC973AF2E22858ED5E410871005F007EFF44CC86"" to ""8CE291513775DB3C6C1288C7DC63960BCF0E63CF8B630233C951CA72E3934F51""

After the change the File had the following attributes:

   SHA-256: 8CE291513775DB3C6C1288C7DC63960BCF0E63CF8B630233C951CA72E3934F51",Agent
"May 12, 2025 17:54:44",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 17:56:02",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
"May 12, 2025 18:26:40",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""8CE291513775DB3C6C1288C7DC63960BCF0E63CF8B630233C951CA72E3934F51"" to ""20E606083A5E7E2EE81B6603E49CE247215B14B5339094931EAD3338729A4648""

After the change the File had the following attributes:

   SHA-256: 20E606083A5E7E2EE81B6603E49CE247215B14B5339094931EAD3338729A4648",Agent
"May 12, 2025 19:07:43",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
"May 12, 2025 19:02:41",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 19:15:30",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
"May 12, 2025 19:13:07",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 19:21:46",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""20E606083A5E7E2EE81B6603E49CE247215B14B5339094931EAD3338729A4648"" to ""34276072E3F10EA89FF2758D56774932428C733120C983374593E69AA85C20E1""

After the change the File had the following attributes:

   SHA-256: 34276072E3F10EA89FF2758D56774932428C733120C983374593E69AA85C20E1",Agent
"May 12, 2025 19:44:52",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\flighting\onesettings\refreshcache,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""9BE04855B2919C90A651231FC807DCB54547C3187F2370DC4BB90CAD0028E9C7"" to ""6F84913E92B59CDB333E6910F6767ECEE4263A62689B276A83B75EDC1C8CA4CC""

After the change the File had the following attributes:

   SHA-256: 6F84913E92B59CDB333E6910F6767ECEE4263A62689B276A83B75EDC1C8CA4CC",Agent
"May 12, 2025 19:45:22",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""34276072E3F10EA89FF2758D56774932428C733120C983374593E69AA85C20E1"" to ""38C405BD47567D5F4FD1B444EDD3E35183968D1D7B2D287E0D97F2AA27750565""

After the change the File had the following attributes:

   SHA-256: 38C405BD47567D5F4FD1B444EDD3E35183968D1D7B2D287E0D97F2AA27750565",Agent
"May 12, 2025 20:16:51",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""38C405BD47567D5F4FD1B444EDD3E35183968D1D7B2D287E0D97F2AA27750565"" to ""5A5D370ECF6CE890C62C320B72E8CE0D0926A7F8C24A8055C50C155B2BFF85EC""

After the change the File had the following attributes:

   SHA-256: 5A5D370ECF6CE890C62C320B72E8CE0D0926A7F8C24A8055C50C155B2BFF85EC",Agent
"May 12, 2025 20:37:59",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""5A5D370ECF6CE890C62C320B72E8CE0D0926A7F8C24A8055C50C155B2BFF85EC"" to ""1DB8DEE73EA57794BF5FCDD01700D1C4DF6CF76B8408BEA6CD1161B7A2504CC1""

After the change the File had the following attributes:

   SHA-256: 1DB8DEE73EA57794BF5FCDD01700D1C4DF6CF76B8408BEA6CD1161B7A2504CC1",Agent
"May 12, 2025 21:11:56",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""1DB8DEE73EA57794BF5FCDD01700D1C4DF6CF76B8408BEA6CD1161B7A2504CC1"" to ""22E3C2B15278ED71520E787708A1A7AE417E10450EF9710E1C0B64D4EBE69A6E""

After the change the File had the following attributes:

   SHA-256: 22E3C2B15278ED71520E787708A1A7AE417E10450EF9710E1C0B64D4EBE69A6E",Agent
"May 12, 2025 21:17:13",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""stopped"" to ""running""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: running",Agent
"May 12, 2025 21:13:58",KSDC01.keshet.dom,1006076 - Microsoft Windows - Task scheduler entries modified (ATT&CK T1053.005),,Updated,25,Medium,File,c:\windows\system32\tasks\microsoft\windows\softwareprotectionplatform\svcrestarttask,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,"When scanned the following changes were detected:

   SHA-256 changed from ""22E3C2B15278ED71520E787708A1A7AE417E10450EF9710E1C0B64D4EBE69A6E"" to ""A0C6862C4109AED7FD4067939AEA01221F138F58BAA029C87F0164D7CBBF96EB""

After the change the File had the following attributes:

   SHA-256: A0C6862C4109AED7FD4067939AEA01221F138F58BAA029C87F0164D7CBBF96EB",Agent
"May 12, 2025 21:22:52",KSDC01.keshet.dom,"1002781 - Microsoft Windows - Attributes of services modified (ATT&CK T1036.004, T1543.003)",,Updated,25,Medium,Service,dcsvc,N/A,N/A,"When scanned the following changes were detected:

   State changed from ""running"" to ""stopped""

After the change the Service had the following attributes:

   Binary Path Name: C:\Windows\system32\svchost.exe -k netsvcs -p
   Start Type: manual
   State: stopped",Agent
